"Activity" "Subject" "mean"
"walking_upstairs" 1 -0.315336808393305
"walking_upstairs" 2 -0.27094863788048
"walking_upstairs" 3 -0.358357567758965
"walking_upstairs" 4 -0.341355950186464
"walking_upstairs" 5 -0.244346694233246
"walking_upstairs" 6 -0.189984813956898
"walking_upstairs" 7 -0.362851021783283
"walking_upstairs" 8 -0.146879782054871
"walking_upstairs" 9 -0.352322249173958
"walking_upstairs" 10 -0.214657479004489
"walking_upstairs" 11 -0.370962843516591
"walking_upstairs" 12 -0.354006222470134
"walking_upstairs" 13 -0.330641118753785
"walking_upstairs" 14 -0.111119139268373
"walking_upstairs" 15 -0.294341669544798
"walking_upstairs" 16 -0.382992324573922
"walking_upstairs" 17 -0.302507349895375
"walking_upstairs" 18 -0.42646923228292
"walking_upstairs" 19 -0.196891295749223
"walking_upstairs" 20 -0.205762872215166
"walking_upstairs" 21 -0.298692900152311
"walking_upstairs" 22 -0.191712185339628
"walking_upstairs" 23 -0.25943590535943
"walking_upstairs" 24 -0.362618588027219
"walking_upstairs" 25 -0.435418743421543
"walking_upstairs" 26 -0.330337988544182
"walking_upstairs" 27 -0.368009684288904
"walking_upstairs" 28 -0.323401541369843
"walking_upstairs" 29 -0.231956730511577
"walking_upstairs" 30 -0.33891298828135
